Station_ID,Station_Name,Latitude,Longitude,Year,Start_Station_Counts,End_Station_Counts
462,W 22 St & 10 Ave,40.74691959,-74.00451887,2017,3222,3371
465,Broadway & W 41 St,40.75513557,-73.98658032,2017,3523,3479
466,W 25 St & 6 Ave,40.74395411,-73.99144871,2017,3135,3181
467,Dean St & 4 Ave,40.68312489,-73.97895137,2017,1207,1220
468,Broadway & W 56 St,40.7652654,-73.98192338,2017,2677,2626
469,Broadway & W 53 St,40.76344058,-73.98268129,2017,1957,1703
470,W 20 St & 8 Ave,40.74345335,-74.00004031,2017,2495,2534
471,Grand St & Havemeyer St,40.71286844,-73.95698119,2017,953,936
472,E 32 St & Park Ave,40.7457121,-73.98194829,2017,3102,3083
473,Rivington St & Chrystie St,40.72110063,-73.9919254,2017,1839,1879
474,5 Ave & E 29 St,40.7451677,-73.98683077,2017,2711,2780
476,E 31 St & 3 Ave,40.74394314,-73.97966069,2017,2619,2625
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2017,4851,4471
478,11 Ave & W 41 St,40.76030096,-73.99884222,2017,2666,2847
479,9 Ave & W 45 St,40.76019252,-73.9912551,2017,3235,3260
480,W 53 St & 10 Ave,40.76669671,-73.99061728,2017,2070,2110
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,2017,1207,1159
482,W 15 St & 7 Ave,40.73935542,-73.99931783,2017,3222,3235
483,E 12 St & 3 Ave,40.73223272,-73.98889957,2017,3016,3049
484,W 44 St & 5 Ave,40.75500254,-73.98014437,2017,2286,2339
485,W 37 St & 5 Ave,40.75038009,-73.98338988,2017,1917,1919
486,Broadway & W 29 St,40.7462009,-73.98855723,2017,3111,3126
487,E 20 St & FDR Drive,40.73314259,-73.97573881,2017,2364,2372
488,W 39 St & 9 Ave,40.75645824,-73.99372222,2017,2098,2093
490,8 Ave & W 33 St,40.751551,-73.993934,2017,5549,5092
491,E 24 St & Park Ave S,40.74096374,-73.98602213,2017,2942,3263
492,W 33 St & 7 Ave,40.75019995,-73.99093085,2017,4017,3719
494,W 26 St & 8 Ave,40.74734825,-73.99723551,2017,3128,3245
495,W 47 St & 10 Ave,40.76269882,-73.99301222,2017,2264,2314
496,E 16 St & 5 Ave,40.73726186,-73.99238967,2017,3285,3326
497,E 17 St & Broadway,40.73704984,-73.99009296,2017,6352,6587
498,Broadway & W 32 St,40.74854862,-73.98808416,2017,3014,2981
499,Broadway & W 60 St,40.76915505,-73.98191841,2017,3461,2948
500,Broadway & W 51 St,40.76228826,-73.98336183,2017,1914,1883
501,FDR Drive & E 35 St,40.744219,-73.97121214,2017,2539,2417
502,Henry St & Grand St,40.714215,-73.981346,2017,1841,1859
503,E 20 St & Park Ave,40.73827428,-73.98751968,2017,2992,2971
504,1 Ave & E 16 St,40.73221853,-73.98165557,2017,3662,3641
505,6 Ave & W 33 St,40.74901271,-73.98848395,2017,3986,3797
507,E 25 St & 2 Ave,40.73912601,-73.97973776,2017,3010,3028
508,W 46 St & 11 Ave,40.76341379,-73.99667444,2017,2315,2254
509,9 Ave & W 22 St,40.7454973,-74.00197139,2017,3866,4010
511,E 14 St & Avenue B,40.72938685,-73.97772429,2017,3038,3069
513,W 56 St & 10 Ave,40.768254,-73.988639,2017,1548,1501
514,12 Ave & W 40 St,40.76087502,-74.00277668,2017,4729,4817
515,W 43 St & 10 Ave,40.76009437,-73.99461843,2017,2544,2564
516,E 47 St & 1 Ave,40.75206862,-73.96784384,2017,1017,1070
517,Pershing Square South,40.751581,-73.97791,2017,2649,2447
518,E 39 St & 2 Ave,40.74780373,-73.9734419,2017,3403,3372
519,Pershing Square North,40.751873,-73.977706,2017,8844,8724
520,W 52 St & 5 Ave,40.75992262,-73.97648516,2017,1685,1717
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,2017,1724,1696
523,W 38 St & 8 Ave,40.75466591,-73.99138152,2017,4581,4692
524,W 43 St & 6 Ave,40.75527307,-73.98316936,2017,2773,2790
525,W 34 St & 11 Ave,40.75594159,-74.0021163,2017,1816,1839
526,E 33 St & 5 Ave,40.74765947,-73.98490707,2017,2555,2534
527,E 33 St & 2 Ave,40.744023,-73.976056,2017,3142,3071
528,2 Ave & E 31 St,40.74290902,-73.97706058,2017,2594,2575
529,W 42 St & 8 Ave,40.7575699,-73.99098507,2017,2602,2466
530,11 Ave & W 59 St,40.771522,-73.990541,2017,2536,2532
531,Forsyth St & Broome St,40.71893904,-73.99266288,2017,2706,2774
532,S 5 Pl & S 4 St,40.710451,-73.960876,2017,1827,1684
534,Water - Whitehall Plaza,40.70255065,-74.0127234,2017,939,943
536,1 Ave & E 30 St,40.74144387,-73.97536082,2017,2484,2478
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,2017,3164,3118
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2017,2210,2353
540,Lexington Ave & E 29 St,40.74311555,-73.98215353,2017,2765,2763
545,E 23 St & 1 Ave,40.736502,-73.97809472,2017,2999,2987
546,E 30 St & Park Ave S,40.74444921,-73.98303529,2017,2491,2531
2000,Front St & Washington St,40.70255088,-73.98940236,2017,1244,1383
2001,Sands St & Navy St,40.699773,-73.979927,2017,253,302
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,2017,1897,1929
2003,1 Ave & E 18 St,40.73381219,-73.98054421,2017,2679,2691
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,2017,162,165
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2017,2758,2668
2008,Little West St & 1 Pl,40.70569254,-74.01677685,2017,2970,2752
2009,Catherine St & Monroe St,40.71117444,-73.99682619,2017,1126,1086
2010,Grand St & Greene St,40.72165481,-74.00234737,2017,2006,2047
2012,E 27 St & 1 Ave,40.739445,-73.976806,2017,2061,1976
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,2017,2606,2566
2022,E 60 St & York Ave,40.759107,-73.959223,2017,517,485
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,2017,1314,1327
3002,South End Ave & Liberty St,40.711512,-74.015756,2017,4338,4356
3016,Kent Ave & N 7 St,40.72036775,-73.96165073,2017,2260,2381
3036,8D OPS 01,40.88092056,-73.8966018,2017,3,3
3040,GOW Tech Shop,40.66979964,-73.99497986,2017,1,1
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,2017,256,249
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,2017,394,405
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,2017,216,203
3044,Albany Ave & Fulton St,40.6800105,-73.938475,2017,162,161
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,2017,312,309
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,2017,453,440
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,2017,297,288
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,2017,334,331
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,2017,331,315
3052,Lewis Ave & Madison St,40.686312,-73.935775,2017,486,479
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,2017,201,191
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,2017,340,343
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,2017,324,287
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,2017,382,387
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,2017,369,339
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,2017,305,306
3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,2017,233,237
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,2017,267,271
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,2017,173,169
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,2017,348,364
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,2017,179,168
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,2017,749,765
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,2017,208,202
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,2017,259,281
3067,Broadway & Whipple St,40.7016657,-73.9437303,2017,428,438
3068,Humboldt St & Varet St,40.7031724,-73.940636,2017,423,446
3069,Lorimer St & Broadway,40.70411791,-73.94818595,2017,189,211
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,2017,244,228
3071,Boerum St & Broadway,40.70538077,-73.94976519,2017,347,346
3072,Leonard St & Boerum St,40.70583339,-73.94644578,2017,297,281
3073,Division Ave & Hooper St,40.70691254,-73.95441667,2017,343,322
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,2017,924,958
3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,2017,147,131
